Date,Open,High,Low,Close,Volume
8-Mar-16,708.39,722.25,704.00,713.53,2626495
7-Mar-16,725.15,727.21,705.14,712.80,3084522
4-Mar-16,734.80,735.00,725.62,730.22,2421300
3-Mar-16,739.48,741.00,729.63,731.59,2025353
2-Mar-16,742.87,743.12,733.25,739.48,1781343
1-Mar-16,721.30,742.33,718.64,742.17,3001329
29-Feb-16,721.00,730.60,716.84,717.22,2237474
26-Feb-16,733.60,736.16,721.94,724.86,2120631
25-Feb-16,722.93,729.51,713.23,729.12,1798643
24-Feb-16,710.61,721.22,702.02,720.90,1833671
23-Feb-16,726.10,730.90,715.67,717.29,2053583
22-Feb-16,729.51,734.84,723.45,729.05,1850912
19-Feb-16,715.90,724.03,713.12,722.11,1721784
18-Feb-16,733.96,736.00,715.55,717.51,2330509
17-Feb-16,727.00,733.76,716.61,731.97,2437275
16-Feb-16,718.65,722.88,710.18,717.64,2151167
12-Feb-16,712.21,716.00,701.58,706.89,2317193
11-Feb-16,696.34,712.32,691.19,706.36,3227256
10-Feb-16,711.79,723.22,705.39,706.85,3011661
9-Feb-16,692.95,720.96,688.50,701.02,4197924
8-Feb-16,687.68,704.52,682.01,704.16,4438257
5-Feb-16,725.50,726.72,700.14,703.76,5444953
4-Feb-16,744.59,745.24,722.60,730.03,5214827
3-Feb-16,786.28,791.43,736.26,749.38,6543977
2-Feb-16,800.50,810.35,780.60,780.91,6776535
1-Feb-16,771.26,777.59,761.38,770.77,5102641
29-Jan-16,748.96,765.10,744.20,761.35,3759222
28-Jan-16,738.19,751.16,730.60,748.30,3093589
27-Jan-16,735.89,735.89,713.45,717.58,2082928
26-Jan-16,735.21,739.46,726.97,733.79,1543054
25-Jan-16,743.84,752.46,732.50,733.62,2259778
22-Jan-16,742.00,748.56,740.50,745.46,2350965
21-Jan-16,720.17,737.67,711.11,726.67,2594281
20-Jan-16,705.90,726.95,687.78,718.56,4114182
19-Jan-16,720.15,725.35,709.85,719.08,2408193
15-Jan-16,709.99,724.16,701.51,710.49,3777815
14-Jan-16,724.44,739.89,705.00,731.39,2755725
13-Jan-16,749.34,753.00,716.78,719.57,2554586
12-Jan-16,740.75,748.34,736.43,745.34,2340753
11-Jan-16,731.95,735.08,719.56,733.07,2544806
8-Jan-16,747.80,750.12,728.92,730.91,2375348
7-Jan-16,746.49,755.31,735.28,741.00,3156563
6-Jan-16,750.37,765.73,748.00,759.33,2410301
5-Jan-16,764.10,769.20,755.65,761.53,2260795
4-Jan-16,762.20,762.20,747.54,759.44,3352912
31-Dec-15,787.82,788.33,777.32,778.01,1637561
30-Dec-15,793.96,796.46,787.20,790.30,1428280
29-Dec-15,786.99,798.69,786.20,793.96,1921480
28-Dec-15,770.00,782.82,767.73,782.24,1557755
24-Dec-15,768.52,769.20,764.39,765.84,521141
23-Dec-15,770.69,771.90,757.65,768.51,1529742
22-Dec-15,764.27,770.34,761.20,767.13,1816935
21-Dec-15,763.05,766.35,754.15,760.80,1742368
18-Dec-15,767.23,774.14,756.59,756.85,3389702
17-Dec-15,781.16,781.59,769.30,769.83,1825538
16-Dec-15,766.57,781.50,757.04,776.59,2656010
15-Dec-15,767.79,774.75,758.00,760.09,2469319
14-Dec-15,751.26,764.15,736.26,762.54,2693160
11-Dec-15,749.00,757.44,748.65,750.42,2159164
10-Dec-15,763.59,766.07,755.00,760.04,1622940
